Date,Product,Region,Quantity,Price,Sales
2024-09-25,Camera,East,7,47163,330141
2024-09-26,Headphones,North,5,20816,104080
2024-09-27,Tablet,East,7,38011,266077
2024-09-28,Laptop,West,9,25917,233253
2024-09-29,Laptop,South,1,32195,32195
2024-09-30,Headphones,North,7,22566,157962
2024-10-01,Tablet,South,6,10916,65496
2024-10-02,Tablet,North,9,21806,196254
2024-10-03,Camera,East,1,10984,10984
2024-10-04,Tablet,North,4,2759,11036
2024-10-05,Tablet,West,9,42949,386541
2024-10-06,Tablet,West,4,27838,111352
2024-10-07,Mobile,North,3,3482,10446
2024-10-08,Camera,North,9,25442,228978
2024-10-09,Laptop,North,2,34719,69438
2024-10-10,Headphones,North,4,28965,115860
2024-10-11,Laptop,West,6,3079,18474
2024-10-12,Camera,South,2,3717,7434
2024-10-13,Headphones,North,8,28952,231616
2024-10-14,Camera,North,8,21908,175264
2024-10-15,Tablet,West,1,43460,43460
2024-10-16,Headphones,West,3,25861,77583
2024-10-17,Tablet,East,9,8311,74799
2024-10-18,Laptop,North,5,29071,145355
2024-10-19,Laptop,East,6,24570,147420
2024-10-20,Headphones,West,4,19449,77796
2024-10-21,Headphones,West,2,34536,69072
2024-10-22,Camera,South,8,39258,314064
2024-10-23,Camera,North,6,49302,295812
2024-10-24,Tablet,East,5,29865,149325
2024-10-25,Headphones,West,9,7645,68805
2024-10-26,Laptop,West,1,39000,39000
